Team Number,Match,AC1T,AC1,AC2T,AC2,AC3T,AC3,AC4T,AC4,AARL,AARH,AAP,AAB,AM,TC1T,TC1,TC2T,TC2,TC3T,TC3,TC4T,TC4,TARL,TARH,TAP,TAB,EP,Auton Coral L 1,Auton Coral L 2,Auton Coral L3,Auton Coral L 4,Auton Algae Process,Auton Algae Barge,Auton Points,Teleop Coral L 1,Teleop Coral L2,Teleop Coral L3,Teleop Coral L4,Teleop Algae Barged,Teleop Algae Processed,Teleop Algae Barged HP,Parked Endgame,Teleop Points,% L1,% L2,% L3,% L4,Points Total,Deep Climb,Shallow Climb,Breaking,Auton Coral L1 Rate,Auton Coral L2 Rate,Auton Coral L3 Rate,Auton Coral L4 Rate,Defense,Teleop Coral L1 Rate,Teleop Coral L2 Rate,Teleop Coral L3 Rate,Teleop Coral L4 Rate,Auton Algae Removed,Algae Teleop Removed,Total Auton Coral Success,Total Teleop Coral Sucess,Algae Capability,Auton Coral Attempt,Teleop Coral Attempt
7038,59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,2,2,0%,0%,0%,0%,2,0,0,0,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,0,0,0
6318,59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,4,1,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,0,0,0,0,2,0,4,0,0,0,0,2,8,0%,44%,44%,11%,8,0,0,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,0%,25%,0%,0,0,FALSE,2,0,0,9
3197,60,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,14,11,1,0,0,0,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,55,0,0,0,2,57,0%,0%,0%,100%,57,0,0,0,FALSE,FALSE,FALSE,0%,0,FALSE,FALSE,FALSE,79%,0,1,0,11,1,1,14
8122,60,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,3,0,1,0,0,3,0,FALSE,FALSE,0,0,0,0,0,0,0,15,0,0,0,6,21,43%,0%,0%,57%,21,1,0,0,0%,FALSE,FALSE,FALSE,1,0%,FALSE,FALSE,75%,0,1,0,3,2,2,5
4511,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,3,0,0,0,0,1,FALSE,FALSE,FALSE,0,0,0,0,0,6,8,15,0,0,0,2,31,0%,0%,0%,0%,31,0,0,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,0,0,0
3381,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,0,0,0
8422,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,5,0,3,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,30,0,6,36,0%,0%,0%,0%,36,1,0,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,5,FALSE,FALSE,3,0,0
3294,61,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,0,0,0,0,3,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,15,0,0,0,6,21,0%,0%,0%,100%,21,1,0,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,75%,0,0,FALSE,3,0,0,4
3100,61,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,7,1,3,FALSE,FALSE,0,0,4,7,0,0,0,0,28,0,0,2,30,100%,0%,0%,0%,37,0,0,0,100%,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,1,3,1,FALSE,3,1,0
2143,61,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7,5,0,0,0,0,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,25,0,0,0,2,27,0%,0%,0%,100%,27,0,0,0,FALSE,FALSE,FALSE,0%,0,FALSE,FALSE,FALSE,71%,0,0,0,5,0,1,7
4011,61,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,0,1,0,0,0,0,0,3,FALSE,FALSE,FALSE,0,0,0,0,4,6,0,0,0,0,0,6,16,0%,67%,0%,33%,16,1,0,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,100%,FALSE,0%,0,0,FALSE,4,0,0,3
